type,name,icon,icon_black,icon_light,isSelected
1,bread,./images/ingredients/BREAD.png,./images/ingredients_black/BREAD.png,./images/ingredients_light/BREAD.png,0
1,flour,./images/ingredients/FLOUR.png,./images/ingredients_black/FLOUR.png,./images/ingredients_light/FLOUR.png,0
1,pasta,./images/ingredients/PASTA.png,./images/ingredients_black/PASTA.png,./images/ingredients_light/PASTA.png,0
1,tortilla,./images/ingredients/TORTILLA.png,./images/ingredients_black/TORTILLA.png,./images/ingredients_light/TORTILLA.png,0
2,beef,./images/ingredients/BEEF.png,./images/ingredients_black/BEEF.png,./images/ingredients_light/BEEF.png,0
2,chrizo,./images/ingredients/CHORIZO.png,./images/ingredients_black/CHORIZO.png,./images/ingredients_light/CHORIZO.png,0
2,crab,./images/ingredients/CRAB.png,./images/ingredients_black/CRAB.png,./images/ingredients_light/CRAB.png,0
2,duck,./images/ingredients/DUCK.png,./images/ingredients_black/DUCK.png,./images/ingredients_light/DUCK.png,0
2,fish,./images/ingredients/FISH.png,./images/ingredients_black/FISH.png,./images/ingredients_light/FISH.png,0
2,ham,./images/ingredients/HAM.png,./images/ingredients_black/HAM.png,./images/ingredients_light/HAM.png,0
2,salmon,./images/ingredients/SALMON.png,./images/ingredients_black/SALMON.png,./images/ingredients_light/SALMON.png,0
2,shrimp ,./images/ingredients/SHRIMP.png,./images/ingredients_black/SHRIMP.png,./images/ingredients_light/SHRIMP.png,0
2,tuna,./images/ingredients/TUNA.png,./images/ingredients_black/TUNA.png,./images/ingredients_light/TUNA.png,0
3,rum,./images/ingredients/RUM.png,./images/ingredients_black/RUM.png,./images/ingredients_light/RUM.png,0
3,whiskey ,./images/ingredients/WHISKEY.png,./images/ingredients_black/WHISKEY.png,./images/ingredients_light/WHISKEY.png,0
3,wine,./images/ingredients/WINE.png,./images/ingredients_black/WINE.png,./images/ingredients_light/WINE.png,0
4,apple,./images/ingredients/apple.png,./images/ingredients_black/apple.png,./images/ingredients_light/apple.png,0
4,avocado,./images/ingredients/AVOCADO.png,./images/ingredients_black/AVOCADO.png,./images/ingredients_light/AVOCADO.png,0
4,banana,./images/ingredients/BANANA.png,./images/ingredients_black/BANANA.png,./images/ingredients_light/BANANA.png,0
4,blueberry,./images/ingredients/BLUEBERRY.png,./images/ingredients_black/BLUEBERRY.png,./images/ingredients_light/BLUEBERRY.png,0
4,lemon,./images/ingredients/LEMON.png,./images/ingredients_black/LEMON.png,./images/ingredients_light/LEMON.png,0
4,passionfruit,./images/ingredients/PASSION FRUIT.png,./images/ingredients_black/PASSION FRUIT.png,./images/ingredients_light/PASSION FRUIT.png,0
4,peach,./images/ingredients/PEACH.png,./images/ingredients_black/PEACH.png,./images/ingredients_light/PEACH.png,0
5,artichoke,./images/ingredients/artichoke.png,./images/ingredients_black/artichoke.png,./images/ingredients_light/artichoke.png,0
5,asparagus,./images/ingredients/ASPARAGUS.png,./images/ingredients_black/ASPARAGUS.png,./images/ingredients_light/ASPARAGUS.png,0
5,cauliflower,./images/ingredients/CAULIFLOWER.png,./images/ingredients_black/CAULIFLOWER.png,./images/ingredients_light/CAULIFLOWER.png,0
5,onion,./images/ingredients/ONION.png,./images/ingredients_black/ONION.png,./images/ingredients_light/ONION.png,0
5,potato,./images/ingredients/POTATO.png,./images/ingredients_black/POTATO.png,./images/ingredients_light/POTATO.png,0
5,tomato,./images/ingredients/TOMATO.png,./images/ingredients_black/TOMATO.png,./images/ingredients_light/TOMATO.png,0
6,almond ,./images/ingredients/almond.png,./images/ingredients_black/almond.png,./images/ingredients_light/almond.png,0
6,bean,./images/ingredients/BEAN.png,./images/ingredients_black/BEAN.png,./images/ingredients_light/BEAN.png,0
6,cream ,./images/ingredients/CREAM.png,./images/ingredients_black/CREAM.png,./images/ingredients_light/CREAM.png,0
6,egg,./images/ingredients/EGG.png,./images/ingredients_black/EGG.png,./images/ingredients_light/EGG.png,0
6,lentil,./images/ingredients/LENTIL.png,./images/ingredients_black/LENTIL.png,./images/ingredients_light/LENTIL.png,0
6,nut,./images/ingredients/NUT.png,./images/ingredients_black/NUT.png,./images/ingredients_light/NUT.png,0
6,pumpkin ,./images/ingredients/PUMKIN.png,./images/ingredients_black/PUMKIN.png,./images/ingredients_light/PUMKIN.png,0
